S.ID,r01,r12,r23,r3x,r02,r13,r2x,C0r1,C0,C1,C2,C3,C4r1,C4,C5,C5m,C6r1,C6r2,C6,C6m,Pattern,Edit,Origin,V.ID,V.freq
s148,0.07,0.26,0.24,0.43,0.33,0.5,0.67,UNA,UNA,UNA,UNA,UNA,X,UNA,UNA,UNA,UNA,UNA,UNA,UNA,p2,p,o21,v470,470
s149,0.44,0.38,0.14,0.04,0.82,0.52,0.18,A,A,A,A,A,A,A,A,A,A,A,A,A,p4,s,o09,v111,111
s150,0.19,0.31,0.19,0.31,0.5,0.51,0.5,A,UNA,UNA,UNA,X,X,X,X,X,X,X,X,X,p5,v,o23,v470,470
s151,0.84,0.14,0.02,0.01,0.98,0.15,0.02,A,A,A,A,A,A,A,A,A,A,A,A,A,p3,s,o22,v470,470
s152,0.06,0.2,0.31,0.42,0.27,0.51,0.73,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,p5,p,o23,v470,470
s153,0.1,0.39,0.31,0.2,0.49,0.7,0.51,UNA,UNA,UNA,UNA,UNA,X,X,X,X,X,X,X,X,p1,o,o33,v958,958
s154,0.01,0.17,0.39,0.43,0.18,0.56,0.82,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,p3,v,o18,v450,450
s155,0.04,0.23,0.34,0.39,0.27,0.57,0.73,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,p1,p,o28,v829,829
s156,0.09,0.4,0.26,0.25,0.49,0.66,0.51,UNA,UNA,UNA,UNA,UNA,X,X,X,X,X,X,X,X,p2,p,o11,v155,155
s157,0.09,0.4,0.29,0.21,0.5,0.69,0.5,UNA,UNA,UNA,UNA,UNA,X,X,X,X,X,X,X,X,p3,o,o13,v210,210
s158,0.6,0.33,0.04,0.03,0.93,0.37,0.07,A,A,A,A,A,A,A,A,A,A,A,A,A,p2,o,o21,v470,470
s159,0.2,0.24,0.36,0.2,0.44,0.6,0.56,UNA,UNA,UNA,UNA,UNA,X,X,X,X,Y,Y,X,X,p2,p,o12,v183,183
s160,0.11,0.31,0.33,0.26,0.42,0.64,0.58,UNA,UNA,UNA,UNA,UNA,X,X,X,X,Y,Y,X,X,p3,n,o05,v25,25
s161,0.66,0.27,0.05,0.02,0.93,0.32,0.07,A,A,A,A,A,A,A,A,A,A,A,A,A,p4,o,o02,v18,18
s162,0.47,0.32,0.13,0.08,0.79,0.45,0.21,A,A,A,A,A,A,A,A,A,A,A,A,A,p5,n,o23,v470,470
s163,0.01,0.23,0.35,0.41,0.24,0.57,0.76,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,p3,s,o18,v450,450
s164,0.04,0.28,0.25,0.43,0.32,0.53,0.68,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,p3,v,o26,v807,807
s165,0.01,0.26,0.35,0.38,0.27,0.6,0.73,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,p4,v,o16,v345,345
s166,0.09,0.25,0.3,0.36,0.34,0.55,0.66,UNA,UNA,UNA,UNA,UNA,X,UNA,UNA,UNA,UNA,UNA,UNA,UNA,p2,p,o25,v807,807
s167,0.08,0.42,0.31,0.19,0.5,0.73,0.5,UNA,UNA,UNA,UNA,UNA,X,X,X,X,X,X,X,X,p5,p,o31,v958,958
s168,0.71,0.22,0.04,0.03,0.93,0.26,0.07,A,A,A,A,A,A,A,A,A,A,A,A,A,p4,o,o09,v111,111
s169,0.72,0.18,0.06,0.04,0.9,0.24,0.1,A,A,A,A,A,A,A,A,A,A,A,A,A,p3,o,o29,v831,831
s170,0.07,0.3,0.28,0.35,0.37,0.58,0.63,UNA,UNA,UNA,UNA,UNA,X,UNA,UNA,UNA,UNA,UNA,UNA,UNA,p3,v,o10,v145,145
s171,0.34,0.44,0.14,0.08,0.78,0.58,0.22,A,A,A,A,A,A,A,A,A,X,X,X,X,p3,s,o26,v807,807
s172,0.08,0.27,0.34,0.32,0.35,0.6,0.65,UNA,UNA,UNA,UNA,UNA,X,UNA,UNA,UNA,Y,Y,X,X,p1,v,o28,v829,829
s173,0.74,0.19,0.04,0.02,0.94,0.23,0.06,A,A,A,A,A,A,A,A,A,A,A,A,A,p4,n,o34,v958,958
s174,0.03,0.24,0.32,0.41,0.27,0.56,0.73,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,p4,v,o06,v25,25
s175,0.04,0.45,0.34,0.18,0.49,0.78,0.51,UNA,UNA,UNA,UNA,UNA,X,X,X,X,X,X,X,X,p2,n,,v131,131
s176,0.01,0.06,0.16,0.78,0.06,0.21,0.94,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,p3,n,o10,v145,145
s177,0.07,0.34,0.29,0.3,0.41,0.63,0.59,UNA,UNA,UNA,UNA,UNA,X,X,X,X,X,X,X,X,p2,p,o03,v18,18
s178,0.03,0.35,0.27,0.35,0.38,0.62,0.62,UNA,UNA,UNA,UNA,UNA,X,UNA,X,X,X,X,X,X,p2,o,o12,v183,183
s179,0.83,0.11,0.03,0.03,0.94,0.14,0.06,A,A,A,A,A,A,A,A,A,A,A,A,A,p4,o,o34,v958,958
s180,0.04,0.15,0.23,0.58,0.19,0.38,0.81,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,p5,p,o23,v470,470
s181,0.19,0.49,0.21,0.11,0.68,0.7,0.32,A,A,A,UNA,A,A,A,X,X,X,X,X,X,p3,s,o29,v831,831
s182,0.06,0.34,0.27,0.34,0.4,0.6,0.6,UNA,UNA,UNA,UNA,UNA,X,UNA,UNA,X,UNA,X,UNA,X,p5,p,o17,v447,447
s183,0.04,0.2,0.73,0.04,0.23,0.92,0.77,UNA,UNA,UNA,UNA,UNA,UNA,UNA,X,X,Y,Y,X,X,p2,n,o12,v183,183
s184,0.2,0.47,0.25,0.08,0.67,0.72,0.33,A,A,A,UNA,A,A,A,X,X,X,X,X,X,p4,s,o16,v345,345
s185,0.02,0.28,0.41,0.29,0.3,0.69,0.7,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,Y,Y,X,X,p1,v,o30,v831,831
s186,0.46,0.35,0.12,0.07,0.81,0.47,0.19,A,A,A,A,A,A,A,A,A,A,A,A,A,p1,s,o01,v18,18
s187,0.17,0.46,0.23,0.14,0.63,0.69,0.37,A,A,A,UNA,A,X,A,X,X,X,X,X,X,p2,v,o21,v470,470
s188,0.02,0.06,0.2,0.72,0.08,0.26,0.92,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,p1,p,o15,v345,345
s189,0.04,0.29,0.32,0.35,0.33,0.61,0.67,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,p1,p,o01,v18,18
s190,0.04,0.28,0.32,0.37,0.32,0.59,0.68,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,p3,o,o10,v145,145
